net,length_um
_0280_,7.52µm
PWDATA[12],7.49µm
_0224_,7.48µm
net93,7.48µm
_0140_,7.46µm
araddr[1],7.45µm
awaddr[0],7.45µm
_0202_,7.44µm
DDATA\[15\]\[3\],7.32µm
DDATA\[2\]\[5\],7.275µm
_0302_,7.25µm
DDATA\[9\]\[6\],7.24µm
DDATA\[7\]\[3\],7.22µm
DDATA\[8\]\[9\],7.22µm
_0143_,7.22µm
_0146_,7.22µm
_0148_,7.18µm
_0160_,7.18µm
net63,7.18µm
PWDATA[9],7.15µm
DDATA\[7\]\[13\],7.125µm
DDATA\[11\]\[6\],7.1µm
_0025_,7.1µm
_0326_,7.1µm
DDATA\[10\]\[9\],7.06µm
DDATA\[12\]\[15\],7.06µm
DDATA\[2\]\[3\],7.06µm
DDATA\[2\]\[8\],7.06µm
DDATA\[5\]\[12\],7.06µm
DDATA\[7\]\[9\],7.06µm
_0273_,7.06µm
DDATA\[0\]\[3\],7.04µm
DDATA\[10\]\[11\],7.04µm
_0023_,6.98µm
net50,6.98µm
DDATA\[12\]\[7\],6.92µm
PWDATA[1],6.89µm
DDATA\[2\]\[0\],6.88µm
DDATA\[7\]\[7\],6.8µm
araddr[4],6.77µm
awaddr[1],6.77µm
DDATA\[8\]\[14\],6.76µm
DDATA\[1\]\[15\],6.74µm
_0253_,6.72µm
net252,6.72µm
DDATA\[9\]\[3\],6.66µm
_0210_,6.66µm
DDATA\[0\]\[15\],6.64µm
DDATA\[8\]\[12\],6.64µm
_0031_,6.64µm
_0094_,6.64µm
DDATA\[0\]\[0\],6.6µm
_0247_,6.6µm
net8,6.6µm
net108,6.6µm
_0338_,6.54µm
DDATA\[4\]\[4\],6.52µm
DDATA\[13\]\[11\],6.5µm
_0382_,6.48µm
_0378_,6.435µm
DDATA\[9\]\[13\],6.38µm
net53,6.38µm
DDATA\[11\]\[7\],6.285µm
DDATA\[13\]\[3\],6.26µm
_0016_,6.26µm
_0152_,6.26µm
_0192_,6.26µm
arburst[0],6.23µm
PWDATA[15],6.21µm
PWDATA[6],6.21µm
_0352_,6.2µm
_0380_,6.2µm
DDATA\[15\]\[1\],6.185µm
DDATA\[10\]\[0\],6.18µm
DDATA\[2\]\[6\],6.18µm
_0029_,6.18µm
_0190_,6.18µm
_0272_,6.18µm
_0277_,6.18µm
_0292_,6.18µm
net44,6.18µm
DDATA\[14\]\[3\],6.145µm
DDATA\[10\]\[13\],6.14µm
DDATA\[11\]\[0\],6.14µm
DDATA\[11\]\[15\],6.14µm
DDATA\[12\]\[10\],6.14µm
DDATA\[12\]\[9\],6.14µm
DDATA\[3\]\[13\],6.14µm
DDATA\[3\]\[8\],6.14µm
DDATA\[4\]\[13\],6.14µm
DDATA\[4\]\[3\],6.14µm
_0026_,6.14µm
_0054_,6.14µm
_0168_,6.14µm
net98,6.14µm
net110,6.14µm
DDATA\[6\]\[11\],6.08µm
_0181_,6.06µm
DDATA\[3\]\[0\],6.055µm
_0317_,6.02µm
DDATA\[15\]\[15\],5.98µm
DDATA\[5\]\[2\],5.96µm
_0207_,5.96µm
DDATA\[12\]\[0\],5.92µm
DDATA\[4\]\[11\],5.92µm
