Metric,Value
clock__skew__worst_hold__corner:max_ss_100C_1v60,1.7913404600031597
clock__skew__worst_setup__corner:max_ss_100C_1v60,4.165261142781457
timing__hold__ws__corner:max_ss_100C_1v60,0.17566559815099012
timing__setup__ws__corner:max_ss_100C_1v60,-0.5381224507196966
timing__hold__tns__corner:max_ss_100C_1v60,0.0
timing__setup__tns__corner:max_ss_100C_1v60,-6.51674199715139
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,-0.5381224507196966
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,0.904875
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,22
timing__setup_r2r__ws__corner:max_ss_100C_1v60,-0.528157
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,14
timing__unannotated_net__count__corner:max_ss_100C_1v60,1
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,0
design__max_cap_violation__count__corner:max_ff_n40C_1v95,0
clock__skew__worst_hold__corner:max_ff_n40C_1v95,0.8417585755571738
clock__skew__worst_setup__corner:max_ff_n40C_1v95,1.5391820476043663
timing__hold__ws__corner:max_ff_n40C_1v95,0.12710455270278806
timing__setup__ws__corner:max_ff_n40C_1v95,2.29767589236121
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.127105
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,3.054117
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,1
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,1
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79573
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.79863
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.00426633
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.00423733
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.00122472
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.00423733
design_powergrid__voltage__worst,0.00423733
design_powergrid__voltage__worst__net:VPWR,1.79573
design_powergrid__drop__worst,0.00426633
design_powergrid__drop__worst__net:VPWR,0.00426633
design_powergrid__voltage__worst__net:VGND,0.00423733
design_powergrid__drop__worst__net:VGND,0.00423733
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.00136999999999999990708821062668221202329732477664947509765625
ir__drop__worst,0.004270000000000000357769369685456695151515305042266845703125
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
