net,length_um
DDATA\[13\]\[2\],7.125µm
_0154_,7.12µm
_0206_,7.1µm
_0356_,7.1µm
_0029_,6.98µm
_0091_,6.98µm
_0281_,6.96µm
DDATA\[1\]\[11\],6.84µm
net32,6.84µm
araddr[4],6.77µm
awaddr[1],6.77µm
DDATA\[7\]\[1\],6.765µm
DDATA\[7\]\[8\],6.765µm
DDATA\[8\]\[15\],6.765µm
DDATA\[12\]\[13\],6.76µm
_0036_,6.76µm
_0286_,6.76µm
DDATA\[0\]\[14\],6.74µm
_0292_,6.72µm
_0365_,6.72µm
_0367_,6.72µm
DDATA\[7\]\[3\],6.66µm
net253,6.66µm
DDATA\[13\]\[0\],6.645µm
DDATA\[5\]\[8\],6.64µm
_0020_,6.64µm
net2,6.64µm
DDATA\[1\]\[13\],6.6µm
DDATA\[3\]\[7\],6.6µm
_0277_,6.6µm
net91,6.6µm
net98,6.6µm
_0089_,6.48µm
DDATA\[9\]\[10\],6.42µm
_0130_,6.4µm
DDATA\[12\]\[6\],6.38µm
net50,6.38µm
_0024_,6.32µm
_0350_,6.32µm
DDATA\[14\]\[11\],6.3µm
_0177_,6.3µm
_0224_,6.3µm
_0236_,6.3µm
i\[1\],6.3µm
_0011_,6.28µm
DDATA\[10\]\[4\],6.26µm
DDATA\[2\]\[8\],6.26µm
DDATA\[5\]\[1\],6.26µm
_0037_,6.26µm
awaddr[0],6.23µm
PWDATA[15],6.21µm
PWDATA[6],6.21µm
_0353_,6.2µm
DDATA\[8\]\[1\],6.18µm
_0030_,6.18µm
_0172_,6.18µm
net44,6.18µm
net60,6.18µm
DDATA\[0\]\[8\],6.14µm
DDATA\[10\]\[3\],6.14µm
DDATA\[11\]\[15\],6.14µm
_0253_,6.14µm
net110,6.14µm
_0347_,6.08µm
DDATA\[4\]\[1\],6.06µm
net250,6.06µm
_0019_,6.04µm
_0201_,6.04µm
net59,6.04µm
_0260_,6.02µm
DDATA\[9\]\[8\],5.98µm
DDATA\[5\]\[4\],5.94µm
DDATA\[13\]\[9\],5.86µm
_0341_,5.86µm
DDATA\[11\]\[11\],5.84µm
_0016_,5.84µm
DDATA\[11\]\[8\],5.8µm
_0232_,5.8µm
_0233_,5.8µm
PRDATA[6],5.75µm
awaddr[3],5.75µm
rdata[1],5.75µm
DDATA\[15\]\[4\],5.72µm
_0023_,5.72µm
_0212_,5.72µm
_0257_,5.72µm
DDATA\[0\]\[7\],5.68µm
DDATA\[14\]\[6\],5.68µm
DDATA\[2\]\[11\],5.68µm
_0230_,5.68µm
net106,5.68µm
DDATA\[14\]\[8\],5.6µm
_0389_,5.6µm
PSEL4,5.53µm
PWDATA[12],5.53µm
PWDATA[3],5.53µm
DDATA\[0\]\[3\],5.5µm
_0187_,5.5µm
DDATA\[11\]\[3\],5.475µm
DDATA\[15\]\[6\],5.475µm
DDATA\[1\]\[2\],5.46µm
net248,5.46µm
DDATA\[14\]\[14\],5.44µm
DDATA\[6\]\[1\],5.44µm
_0302_,5.44µm
_0032_,5.38µm
_0142_,5.38µm
DDATA\[7\]\[5\],5.34µm
_0056_,5.34µm
_0166_,5.28µm
_0321_,5.28µm
DDATA\[3\]\[2\],5.265µm
DDATA\[13\]\[10\],5.26µm
DDATA\[1\]\[0\],5.26µm
